,study_id,site_id,field_size,yield,observed_pollinator_richness,abundance,ab_honeybee,ab_bombus,ab_wildbees,ab_syrphids,ab_humbleflies,ab_other_flies,ab_beetles,ab_lepidoptera,ab_nonbee_hymenoptera,ab_others,total_sampled_area,total_sampled_time
3216,Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_1,1.06,26.6,9.0,62.0,42.0,7.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10625.0,120.0
3217,Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_2,0.6775,22.1,11.0,100.0,82.0,5.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6775.0,120.0
3218,Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_3,0.3725,27.9,13.0,74.0,32.0,11.0,28.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3725.0,120.0
3219,Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_4,0.43,10.4,10.0,95.0,64.0,20.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4300.0,120.0
3220,Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_5,0.73,12.9,13.0,89.0,70.0,3.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7300.0,120.0
3221,Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_6,2.2625,20.1,6.0,81.0,0.0,1.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22625.0,120.0
3222,Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_7,0.66,10.1,7.0,144.0,138.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6600.0,120.0
3223,Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_8,1.25,27.8,8.0,87.0,78.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12500.0,120.0
3224,Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_9,0.9725,28.4,5.0,44.0,34.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9725.0,120.0
3225,Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_10,0.5875,26.6,9.0,62.0,44.0,3.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5875.0,120.0
3226,Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_11,1.4475,27.6,9.0,65.0,50.0,1.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14475.0,120.0
3227,Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_12,1.49,6.7,8.0,52.0,0.0,0.0,49.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,14900.0,120.0
3228,Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_13,0.8,37.8,20.0,102.0,34.0,14.0,50.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8000.0,120.0
3229,Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_14,2.775,9.6,11.0,73.0,59.0,1.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27750.0,120.0
3230,Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_15,2.0125,30.6,6.0,32.0,26.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20125.0,120.0
3231,Ariza_etal_sweetcherry_Belgium_2019,Ariza_etal_2019_16,1.205,36.0,9.0,107.0,81.0,6.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,12050.0,120.0
3345,Eeraerts_etal_sweetcherry_Belgium_2015,Eeraerts_etal_2017_1,0.7,6.18,6.0,62.0,55.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,180.0
